,,Price,Payment_Type
amex,11,1200,Amex
amex,35,1200,Amex
amex,39,3600,Amex
amex,40,3600,Amex
amex,44,1200,Amex
amex,48,1200,Amex
amex,93,1200,Amex
amex,105,1200,Amex
amex,118,1200,Amex
amex,119,1200,Amex
amex,123,1200,Amex
amex,131,1200,Amex
amex,146,1200,Amex
amex,170,1200,Amex
amex,186,1200,Amex
amex,191,1200,Amex
amex,193,1200,Amex
amex,203,1200,Amex
amex,208,1200,Amex
amex,209,3600,Amex
amex,220,1200,Amex
amex,232,3600,Amex
amex,242,1200,Amex
amex,245,1200,Amex
amex,246,1200,Amex
amex,254,3600,Amex
amex,276,1200,Amex
amex,279,1200,Amex
amex,293,1200,Amex
amex,294,800,Amex
amex,297,1200,Amex
amex,305,1200,Amex
amex,335,1200,Amex
amex,352,1200,Amex
amex,356,1200,Amex
amex,358,3600,Amex
amex,364,1200,Amex
amex,367,1200,Amex
amex,398,1200,Amex
amex,405,1200,Amex
amex,425,1200,Amex
amex,432,3600,Amex
amex,435,1200,Amex
amex,438,1200,Amex
amex,445,1200,Amex
amex,449,1200,Amex
amex,452,3600,Amex
amex,459,1200,Amex
amex,460,3600,Amex
amex,461,1200,Amex
amex,464,3600,Amex
amex,468,1200,Amex
amex,472,1200,Amex
amex,484,1200,Amex
amex,490,1200,Amex
amex,491,1800,Amex
amex,492,1200,Amex
amex,503,1200,Amex
amex,509,1200,Amex
amex,516,3600,Amex
amex,519,1200,Amex
amex,535,3600,Amex
amex,545,1200,Amex
amex,547,1200,Amex
amex,555,1200,Amex
amex,559,1200,Amex
amex,588,1200,Amex
amex,591,1200,Amex
amex,594,3600,Amex
amex,595,1200,Amex
amex,606,1200,Amex
amex,618,3600,Amex
amex,642,1200,Amex
amex,653,1200,Amex
amex,655,3600,Amex
amex,664,1200,Amex
amex,667,1200,Amex
amex,673,1200,Amex
amex,682,1200,Amex
amex,691,1200,Amex
amex,699,3600,Amex
amex,729,1200,Amex
amex,734,1200,Amex
amex,737,1200,Amex
amex,738,1200,Amex
amex,746,1200,Amex
amex,764,1200,Amex
amex,780,1200,Amex
amex,784,3600,Amex
amex,788,1200,Amex
amex,796,3600,Amex
amex,800,1200,Amex
amex,830,1200,Amex
amex,833,1200,Amex
amex,839,1200,Amex
amex,846,1200,Amex
amex,849,1200,Amex
amex,876,1200,Amex
amex,883,3600,Amex
amex,888,1200,Amex
amex,889,1200,Amex
amex,905,1200,Amex
amex,907,1200,Amex
amex,921,1200,Amex
amex,928,3600,Amex
amex,935,1200,Amex
amex,936,1200,Amex
amex,942,1200,Amex
amex,951,3600,Amex
amex,995,7500,Amex
diners,10,1200,Diners
diners,15,1200,Diners
diners,17,1200,Diners
diners,19,1200,Diners
diners,21,1200,Diners
diners,26,1200,Diners
diners,33,1200,Diners
diners,49,1200,Diners
diners,59,3600,Diners
diners,69,1200,Diners
diners,81,1200,Diners
diners,115,1200,Diners
diners,134,1200,Diners
diners,135,1200,Diners
diners,141,1200,Diners
diners,153,1200,Diners
diners,156,1200,Diners
diners,171,1200,Diners
diners,174,1200,Diners
diners,216,1200,Diners
diners,221,1200,Diners
diners,235,3600,Diners
diners,248,1200,Diners
diners,257,1200,Diners
diners,259,1200,Diners
diners,271,1200,Diners
diners,282,1200,Diners
diners,300,1200,Diners
diners,313,1200,Diners
diners,316,1200,Diners
diners,319,1200,Diners
diners,322,1200,Diners
diners,329,1200,Diners
diners,330,1200,Diners
diners,348,1200,Diners
diners,359,1200,Diners
diners,366,1200,Diners
diners,380,1200,Diners
diners,408,1200,Diners
diners,410,1200,Diners
diners,420,1200,Diners
diners,451,1200,Diners
diners,458,1200,Diners
diners,485,1200,Diners
diners,489,1200,Diners
diners,514,1200,Diners
diners,518,1200,Diners
diners,537,1200,Diners
diners,552,1200,Diners
diners,600,1200,Diners
diners,603,1200,Diners
diners,624,1200,Diners
diners,628,1200,Diners
diners,631,1200,Diners
diners,635,1200,Diners
diners,647,3600,Diners
diners,648,1200,Diners
diners,672,1200,Diners
diners,675,1200,Diners
diners,683,1200,Diners
diners,700,1200,Diners
diners,715,1200,Diners
diners,718,1200,Diners
diners,733,1200,Diners
diners,748,1200,Diners
diners,768,1200,Diners
diners,779,1200,Diners
diners,812,1200,Diners
diners,824,1200,Diners
diners,825,1200,Diners
diners,827,1200,Diners
diners,850,1200,Diners
diners,858,1200,Diners
diners,872,1200,Diners
diners,892,1200,Diners
diners,895,1200,Diners
diners,902,1200,Diners
diners,915,1200,Diners
diners,924,3600,Diners
diners,926,1200,Diners
diners,932,7500,Diners
diners,933,7500,Diners
diners,934,1200,Diners
diners,957,1200,Diners
diners,966,1200,Diners
diners,968,3600,Diners
diners,976,1200,Diners
diners,992,3600,Diners
diners,996,1200,Diners
mc,0,1200,Mastercard
mc,2,1200,Mastercard
mc,6,1200,Mastercard
mc,7,1200,Mastercard
mc,8,1200,Mastercard
mc,12,1200,Mastercard
mc,22,1200,Mastercard
mc,24,1200,Mastercard
mc,30,1200,Mastercard
mc,31,1200,Mastercard
mc,32,1200,Mastercard
mc,34,1200,Mastercard
mc,38,1200,Mastercard
mc,41,1200,Mastercard
mc,46,1200,Mastercard
mc,47,1200,Mastercard
mc,51,1200,Mastercard
mc,54,1200,Mastercard
mc,58,1200,Mastercard
mc,60,1200,Mastercard
mc,62,1200,Mastercard
mc,63,1200,Mastercard
mc,64,3600,Mastercard
mc,65,1200,Mastercard
mc,70,1200,Mastercard
mc,76,1200,Mastercard
mc,83,1200,Mastercard
mc,84,3600,Mastercard
mc,85,3600,Mastercard
mc,86,1200,Mastercard
mc,89,1200,Mastercard
mc,94,1200,Mastercard
mc,95,1200,Mastercard
mc,100,1200,Mastercard
mc,101,1200,Mastercard
mc,106,1200,Mastercard
mc,108,1200,Mastercard
mc,109,1200,Mastercard
mc,112,1200,Mastercard
mc,121,2100,Mastercard
mc,122,1200,Mastercard
mc,137,1200,Mastercard
mc,139,1200,Mastercard
mc,142,1200,Mastercard
mc,144,1200,Mastercard
mc,145,1200,Mastercard
mc,150,7500,Mastercard
mc,154,1200,Mastercard
mc,162,1200,Mastercard
mc,164,1200,Mastercard
mc,165,1200,Mastercard
mc,178,1200,Mastercard
mc,179,1200,Mastercard
mc,180,1200,Mastercard
mc,184,1200,Mastercard
mc,189,7500,Mastercard
mc,190,1200,Mastercard
mc,197,1200,Mastercard
mc,198,1200,Mastercard
mc,202,1200,Mastercard
mc,204,3600,Mastercard
mc,211,1200,Mastercard
mc,212,1200,Mastercard
mc,215,1200,Mastercard
mc,217,1200,Mastercard
mc,218,1200,Mastercard
mc,222,1200,Mastercard
mc,228,1200,Mastercard
mc,234,1200,Mastercard
mc,240,3600,Mastercard
mc,249,1200,Mastercard
mc,250,1200,Mastercard
mc,252,1200,Mastercard
mc,260,1200,Mastercard
mc,263,3600,Mastercard
mc,269,3600,Mastercard
mc,270,1200,Mastercard
mc,272,1200,Mastercard
mc,273,1200,Mastercard
mc,275,3600,Mastercard
mc,278,1200,Mastercard
mc,280,1200,Mastercard
mc,281,1200,Mastercard
mc,284,1200,Mastercard
mc,285,1200,Mastercard
mc,287,1200,Mastercard
mc,289,1200,Mastercard
mc,290,3600,Mastercard
mc,292,1200,Mastercard
mc,295,1200,Mastercard
mc,302,1200,Mastercard
mc,303,1200,Mastercard
mc,308,1200,Mastercard
mc,309,1200,Mastercard
mc,311,1200,Mastercard
mc,314,1200,Mastercard
mc,318,1200,Mastercard
mc,325,1200,Mastercard
mc,326,1200,Mastercard
mc,328,1200,Mastercard
mc,331,1200,Mastercard
mc,343,1200,Mastercard
mc,346,1200,Mastercard
mc,347,1200,Mastercard
mc,349,1200,Mastercard
mc,350,3600,Mastercard
mc,351,1200,Mastercard
mc,353,1200,Mastercard
mc,355,1200,Mastercard
mc,362,1200,Mastercard
mc,363,1200,Mastercard
mc,368,1200,Mastercard
mc,369,1200,Mastercard
mc,370,1200,Mastercard
mc,372,3600,Mastercard
mc,375,3600,Mastercard
mc,381,1200,Mastercard
mc,382,1200,Mastercard
mc,383,1250,Mastercard
mc,385,1200,Mastercard
mc,386,1200,Mastercard
mc,389,1200,Mastercard
mc,390,1200,Mastercard
mc,393,1200,Mastercard
mc,396,3600,Mastercard
mc,397,3600,Mastercard
mc,399,1200,Mastercard
mc,400,1200,Mastercard
mc,401,1200,Mastercard
mc,403,1200,Mastercard
mc,411,1200,Mastercard
mc,419,1200,Mastercard
mc,421,1200,Mastercard
mc,431,1200,Mastercard
mc,434,7500,Mastercard
mc,441,1200,Mastercard
mc,442,1200,Mastercard
mc,443,1200,Mastercard
mc,446,1200,Mastercard
mc,453,1200,Mastercard
mc,454,1200,Mastercard
mc,455,1200,Mastercard
mc,465,1200,Mastercard
mc,466,1200,Mastercard
mc,480,1200,Mastercard
mc,481,1200,Mastercard
mc,488,1200,Mastercard
mc,495,1200,Mastercard
mc,499,1200,Mastercard
mc,513,1200,Mastercard
mc,515,1200,Mastercard
mc,517,1200,Mastercard
mc,523,3600,Mastercard
mc,526,1200,Mastercard
mc,530,1200,Mastercard
mc,531,1200,Mastercard
mc,536,1200,Mastercard
mc,543,1200,Mastercard
mc,548,1200,Mastercard
mc,549,1200,Mastercard
mc,562,1200,Mastercard
mc,571,1200,Mastercard
mc,572,1200,Mastercard
mc,574,1200,Mastercard
mc,576,3600,Mastercard
mc,584,3600,Mastercard
mc,590,1200,Mastercard
mc,599,1200,Mastercard
mc,610,1200,Mastercard
mc,612,1200,Mastercard
mc,615,3600,Mastercard
mc,620,3600,Mastercard
mc,621,1200,Mastercard
mc,626,1200,Mastercard
mc,627,1200,Mastercard
mc,634,1200,Mastercard
mc,636,1200,Mastercard
mc,639,1200,Mastercard
mc,641,3600,Mastercard
mc,650,1200,Mastercard
mc,651,1200,Mastercard
mc,654,1200,Mastercard
mc,657,1200,Mastercard
mc,659,1200,Mastercard
mc,662,1200,Mastercard
mc,666,1200,Mastercard
mc,676,1200,Mastercard
mc,678,1200,Mastercard
mc,687,1200,Mastercard
mc,695,1200,Mastercard
mc,702,1200,Mastercard
mc,707,1200,Mastercard
mc,709,1200,Mastercard
mc,716,3600,Mastercard
mc,719,1200,Mastercard
mc,724,1200,Mastercard
mc,727,3600,Mastercard
mc,731,1200,Mastercard
mc,743,3600,Mastercard
mc,750,1200,Mastercard
mc,758,1200,Mastercard
mc,761,1200,Mastercard
mc,766,1200,Mastercard
mc,769,1200,Mastercard
mc,771,1200,Mastercard
mc,772,1200,Mastercard
mc,774,3600,Mastercard
mc,775,1200,Mastercard
mc,776,1200,Mastercard
mc,782,1200,Mastercard
mc,789,1200,Mastercard
mc,790,1200,Mastercard
mc,791,1200,Mastercard
mc,799,3600,Mastercard
mc,807,1200,Mastercard
mc,808,1200,Mastercard
mc,813,1200,Mastercard
mc,814,7500,Mastercard
mc,815,1200,Mastercard
mc,822,1200,Mastercard
mc,828,3600,Mastercard
mc,829,3600,Mastercard
mc,832,1200,Mastercard
mc,836,1200,Mastercard
mc,837,1200,Mastercard
mc,838,1200,Mastercard
mc,842,1200,Mastercard
mc,844,1200,Mastercard
mc,852,1200,Mastercard
mc,853,1200,Mastercard
mc,854,1200,Mastercard
mc,855,1200,Mastercard
mc,856,1200,Mastercard
mc,857,3600,Mastercard
mc,860,1200,Mastercard
mc,861,1200,Mastercard
mc,868,3600,Mastercard
mc,871,1200,Mastercard
mc,874,1200,Mastercard
mc,880,1200,Mastercard
mc,887,1200,Mastercard
mc,890,1200,Mastercard
mc,894,3600,Mastercard
mc,896,1200,Mastercard
mc,897,1200,Mastercard
mc,898,3600,Mastercard
mc,900,1200,Mastercard
mc,904,1200,Mastercard
mc,908,1200,Mastercard
mc,912,7500,Mastercard
mc,913,1200,Mastercard
mc,920,1200,Mastercard
mc,922,1200,Mastercard
mc,923,1200,Mastercard
mc,930,1200,Mastercard
mc,937,1200,Mastercard
mc,938,1200,Mastercard
mc,939,3600,Mastercard
mc,943,1200,Mastercard
mc,944,1200,Mastercard
mc,947,3600,Mastercard
mc,948,1200,Mastercard
mc,952,1200,Mastercard
mc,954,1200,Mastercard
mc,958,3600,Mastercard
mc,960,3600,Mastercard
mc,962,3600,Mastercard
mc,964,3600,Mastercard
mc,969,1200,Mastercard
mc,974,1200,Mastercard
mc,979,1200,Mastercard
mc,982,1200,Mastercard
mc,986,1200,Mastercard
mc,987,3600,Mastercard
mc,988,3600,Mastercard
mc,989,1200,Mastercard
mc,991,1200,Mastercard
visa,1,1200,Visa
visa,3,1200,Visa
visa,4,3600,Visa
visa,5,1200,Visa
visa,9,1200,Visa
visa,13,1200,Visa
visa,14,1200,Visa
visa,16,1200,Visa
visa,18,3600,Visa
visa,20,1200,Visa
visa,23,1200,Visa
visa,25,1200,Visa
visa,27,1200,Visa
visa,28,1200,Visa
visa,29,1200,Visa
visa,36,3600,Visa
visa,37,1200,Visa
visa,42,1200,Visa
visa,43,3600,Visa
visa,45,3600,Visa
visa,50,1200,Visa
visa,52,1200,Visa
visa,53,1200,Visa
visa,55,1200,Visa
visa,56,1200,Visa
visa,57,1200,Visa
visa,61,1200,Visa
visa,66,1200,Visa
visa,67,1200,Visa
visa,68,1200,Visa
visa,71,1200,Visa
visa,72,1200,Visa
visa,73,1200,Visa
visa,74,1200,Visa
visa,75,1200,Visa
visa,77,1200,Visa
visa,78,1200,Visa
visa,79,1200,Visa
visa,80,1200,Visa
visa,82,1200,Visa
visa,87,1200,Visa
visa,88,1200,Visa
visa,90,1200,Visa
visa,91,1200,Visa
visa,92,1200,Visa
visa,96,1200,Visa
visa,97,1200,Visa
visa,98,1200,Visa
visa,99,1200,Visa
visa,102,1200,Visa
visa,103,1200,Visa
visa,104,1200,Visa
visa,107,1200,Visa
visa,110,1200,Visa
visa,111,1200,Visa
visa,113,1200,Visa
visa,114,1200,Visa
visa,116,1200,Visa
visa,117,1200,Visa
visa,120,1200,Visa
visa,124,1200,Visa
visa,125,1200,Visa
visa,126,1200,Visa
visa,127,1200,Visa
visa,128,1200,Visa
visa,129,1200,Visa
visa,130,1200,Visa
visa,132,1200,Visa
visa,133,1200,Visa
visa,136,1200,Visa
visa,138,1200,Visa
visa,140,1200,Visa
visa,143,1200,Visa
visa,147,1200,Visa
visa,148,3600,Visa
visa,149,1200,Visa
visa,151,1200,Visa
visa,152,1200,Visa
visa,155,1200,Visa
visa,157,3600,Visa
visa,158,3600,Visa
visa,159,3600,Visa
visa,160,3600,Visa
visa,161,1200,Visa
visa,163,1200,Visa
visa,166,1200,Visa
visa,167,1200,Visa
visa,168,1200,Visa
visa,169,1200,Visa
visa,172,3600,Visa
visa,173,1200,Visa
visa,175,3600,Visa
visa,176,1200,Visa
visa,177,1200,Visa
visa,181,1200,Visa
visa,182,3600,Visa
visa,183,1200,Visa
visa,185,1200,Visa
visa,187,1200,Visa
visa,188,1200,Visa
visa,192,1200,Visa
visa,194,1200,Visa
visa,195,3600,Visa
visa,196,1200,Visa
visa,199,1200,Visa
visa,200,1200,Visa
visa,201,1200,Visa
visa,205,1200,Visa
visa,206,7500,Visa
visa,207,1200,Visa
visa,210,1200,Visa
visa,213,1200,Visa
visa,214,1200,Visa
visa,219,1200,Visa
visa,223,3600,Visa
visa,224,1200,Visa
visa,225,1200,Visa
visa,226,3600,Visa
visa,227,1200,Visa
visa,229,1200,Visa
visa,230,3600,Visa
visa,231,3600,Visa
visa,233,1200,Visa
visa,236,1200,Visa
visa,237,1200,Visa
visa,238,1200,Visa
visa,239,1200,Visa
visa,241,1200,Visa
visa,243,1200,Visa
visa,244,7500,Visa
visa,247,1200,Visa
visa,251,1200,Visa
visa,253,1200,Visa
visa,255,1200,Visa
visa,256,3600,Visa
visa,258,1200,Visa
visa,261,3600,Visa
visa,262,1200,Visa
visa,264,1200,Visa
visa,265,1200,Visa
visa,266,1200,Visa
visa,267,1200,Visa
visa,268,1200,Visa
visa,274,1200,Visa
visa,277,1200,Visa
visa,283,1200,Visa
visa,286,1200,Visa
visa,288,1200,Visa
visa,291,3600,Visa
visa,296,1200,Visa
visa,298,1200,Visa
visa,299,1200,Visa
visa,301,1200,Visa
visa,304,1200,Visa
visa,306,1200,Visa
visa,307,1200,Visa
visa,310,1200,Visa
visa,312,3600,Visa
visa,315,3600,Visa
visa,317,1200,Visa
visa,320,1200,Visa
visa,321,1200,Visa
visa,323,1200,Visa
visa,324,1200,Visa
visa,327,1200,Visa
visa,332,1200,Visa
visa,333,1200,Visa
visa,334,1200,Visa
visa,336,1200,Visa
visa,337,1200,Visa
visa,338,1200,Visa
visa,339,3600,Visa
visa,340,1200,Visa
visa,341,1200,Visa
visa,342,1200,Visa
visa,344,1200,Visa
visa,345,3600,Visa
visa,354,3600,Visa
visa,357,1200,Visa
visa,360,1200,Visa
visa,361,1200,Visa
visa,365,1200,Visa
visa,371,1200,Visa
visa,373,1200,Visa
visa,374,1200,Visa
visa,376,1200,Visa
visa,377,1200,Visa
visa,378,1200,Visa
visa,379,1200,Visa
visa,384,1200,Visa
visa,387,1200,Visa
visa,388,1200,Visa
visa,391,1200,Visa
visa,392,1200,Visa
visa,394,1200,Visa
visa,395,1200,Visa
visa,402,1200,Visa
visa,404,1200,Visa
visa,406,1200,Visa
visa,407,1200,Visa
visa,409,1200,Visa
visa,412,1200,Visa
visa,413,1200,Visa
visa,414,1200,Visa
visa,415,1200,Visa
visa,416,1200,Visa
visa,417,1200,Visa
visa,418,1200,Visa
visa,422,1200,Visa
visa,423,1200,Visa
visa,424,1200,Visa
visa,426,1200,Visa
visa,427,1200,Visa
visa,428,1200,Visa
visa,429,1200,Visa
visa,430,1200,Visa
visa,433,1200,Visa
visa,436,1200,Visa
visa,437,1200,Visa
visa,439,1200,Visa
visa,440,1200,Visa
visa,444,3600,Visa
visa,447,1200,Visa
visa,448,1200,Visa
visa,450,1200,Visa
visa,456,1200,Visa
visa,457,1200,Visa
visa,462,1200,Visa
visa,463,1200,Visa
visa,467,1200,Visa
visa,469,1200,Visa
visa,470,1200,Visa
visa,471,1200,Visa
visa,473,1200,Visa
visa,474,1200,Visa
visa,475,1200,Visa
visa,476,1200,Visa
visa,477,250,Visa
visa,478,3600,Visa
visa,479,3600,Visa
visa,482,1200,Visa
visa,483,1200,Visa
visa,486,1200,Visa
visa,487,1200,Visa
visa,493,7500,Visa
visa,494,1200,Visa
visa,496,1200,Visa
visa,497,1200,Visa
visa,498,1200,Visa
visa,500,1200,Visa
visa,501,1200,Visa
visa,502,1200,Visa
visa,504,1200,Visa
visa,505,7500,Visa
visa,506,1200,Visa
visa,507,1200,Visa
visa,508,1200,Visa
visa,510,1200,Visa
visa,511,7500,Visa
visa,512,1200,Visa
visa,520,1200,Visa
visa,521,1200,Visa
visa,522,3600,Visa
visa,524,1200,Visa
visa,525,1200,Visa
visa,527,1200,Visa
visa,528,1200,Visa
visa,529,1200,Visa
visa,532,3600,Visa
visa,533,1200,Visa
visa,534,1200,Visa
visa,538,1200,Visa
visa,539,1200,Visa
visa,540,1200,Visa
visa,541,1200,Visa
visa,542,1200,Visa
visa,544,7500,Visa
visa,546,3600,Visa
visa,550,1200,Visa
visa,551,1200,Visa
visa,553,1200,Visa
visa,554,1200,Visa
visa,556,1200,Visa
visa,557,1200,Visa
visa,558,13000,Visa
visa,560,1200,Visa
visa,561,1200,Visa
visa,563,3600,Visa
visa,564,1200,Visa
visa,565,3600,Visa
visa,566,3600,Visa
visa,567,3600,Visa
visa,568,1200,Visa
visa,569,1200,Visa
visa,570,1200,Visa
visa,573,3600,Visa
visa,575,1200,Visa
visa,577,1200,Visa
visa,578,1200,Visa
visa,579,3600,Visa
visa,580,1200,Visa
visa,581,1200,Visa
visa,582,3600,Visa
visa,583,1200,Visa
visa,585,1200,Visa
visa,586,1200,Visa
visa,587,1200,Visa
visa,589,1200,Visa
visa,592,3600,Visa
visa,593,1200,Visa
visa,596,1200,Visa
visa,597,3600,Visa
visa,598,1200,Visa
visa,601,1200,Visa
visa,602,1200,Visa
visa,604,1200,Visa
visa,605,1200,Visa
visa,607,3600,Visa
visa,608,1200,Visa
visa,609,1200,Visa
visa,611,1200,Visa
visa,613,1200,Visa
visa,614,1200,Visa
visa,616,1200,Visa
visa,617,1200,Visa
visa,619,3600,Visa
visa,622,1200,Visa
visa,623,1200,Visa
visa,625,1200,Visa
visa,629,1200,Visa
visa,630,1200,Visa
visa,632,1200,Visa
visa,633,1200,Visa
visa,637,1200,Visa
visa,638,1200,Visa
visa,640,1200,Visa
visa,643,1200,Visa
visa,644,1200,Visa
visa,645,1200,Visa
visa,646,1200,Visa
visa,649,1200,Visa
visa,652,1200,Visa
visa,656,1200,Visa
visa,658,3600,Visa
visa,660,1200,Visa
visa,661,1200,Visa
visa,663,1200,Visa
visa,665,1200,Visa
visa,668,1200,Visa
visa,669,1200,Visa
visa,670,1200,Visa
visa,671,1200,Visa
visa,674,1200,Visa
visa,677,1200,Visa
visa,679,1200,Visa
visa,680,1200,Visa
visa,681,1200,Visa
visa,684,1200,Visa
visa,685,3600,Visa
visa,686,1200,Visa
visa,688,1200,Visa
visa,689,1200,Visa
visa,690,1200,Visa
visa,692,3600,Visa
visa,693,1200,Visa
visa,694,1200,Visa
visa,696,1200,Visa
visa,697,1200,Visa
visa,698,1200,Visa
visa,701,1200,Visa
visa,703,3600,Visa
visa,704,1200,Visa
visa,705,1200,Visa
visa,706,1200,Visa
visa,708,1200,Visa
visa,710,1200,Visa
visa,711,3600,Visa
visa,712,3600,Visa
visa,713,1200,Visa
visa,714,1200,Visa
visa,717,3600,Visa
visa,720,1200,Visa
visa,721,1200,Visa
visa,722,1200,Visa
visa,723,3600,Visa
visa,725,1200,Visa
visa,726,1200,Visa
visa,728,1200,Visa
visa,730,1200,Visa
visa,732,1200,Visa
visa,735,1200,Visa
visa,736,1200,Visa
visa,739,1200,Visa
visa,740,1200,Visa
visa,741,1200,Visa
visa,742,1200,Visa
visa,744,1200,Visa
visa,745,1200,Visa
visa,747,1200,Visa
visa,749,1200,Visa
visa,751,1200,Visa
visa,752,3600,Visa
visa,753,1200,Visa
visa,754,1200,Visa
visa,755,3600,Visa
visa,756,1200,Visa
visa,757,1200,Visa
visa,759,1200,Visa
visa,760,1200,Visa
visa,762,1200,Visa
visa,763,1200,Visa
visa,765,1200,Visa
visa,767,1200,Visa
visa,770,1200,Visa
visa,773,1200,Visa
visa,777,1200,Visa
visa,778,1200,Visa
visa,781,1200,Visa
visa,783,1200,Visa
visa,785,1200,Visa
visa,786,1200,Visa
visa,787,1200,Visa
visa,792,1200,Visa
visa,793,1200,Visa
visa,794,1200,Visa
visa,795,1200,Visa
visa,797,3600,Visa
visa,798,1200,Visa
visa,801,3600,Visa
visa,802,1200,Visa
visa,803,3600,Visa
visa,804,1200,Visa
visa,805,1200,Visa
visa,806,1200,Visa
visa,809,1200,Visa
visa,810,1200,Visa
visa,811,1200,Visa
visa,816,1200,Visa
visa,817,1200,Visa
visa,818,1200,Visa
visa,819,1200,Visa
visa,820,3600,Visa
visa,821,1200,Visa
visa,823,1200,Visa
visa,826,1200,Visa
visa,831,3600,Visa
visa,834,1200,Visa
visa,835,1200,Visa
visa,840,1200,Visa
visa,841,3600,Visa
visa,843,1200,Visa
visa,845,3600,Visa
visa,847,1200,Visa
visa,848,1200,Visa
visa,851,1200,Visa
visa,859,1200,Visa
visa,862,1200,Visa
visa,863,3600,Visa
visa,864,1200,Visa
visa,865,1200,Visa
visa,866,1200,Visa
visa,867,3600,Visa
visa,869,1200,Visa
visa,870,3600,Visa
visa,873,1200,Visa
visa,875,3600,Visa
visa,877,1200,Visa
visa,878,1200,Visa
visa,879,1200,Visa
visa,881,1200,Visa
visa,882,1200,Visa
visa,884,3600,Visa
visa,885,1200,Visa
visa,886,1200,Visa
visa,891,1200,Visa
visa,893,1200,Visa
visa,899,1200,Visa
visa,901,3600,Visa
visa,903,1200,Visa
visa,906,1200,Visa
visa,909,1200,Visa
visa,910,1200,Visa
visa,911,1200,Visa
visa,914,1200,Visa
visa,916,1200,Visa
visa,917,1200,Visa
visa,918,1200,Visa
visa,919,3600,Visa
visa,925,1200,Visa
visa,927,1200,Visa
visa,929,1200,Visa
visa,931,1200,Visa
visa,940,1200,Visa
visa,941,1200,Visa
visa,945,1200,Visa
visa,946,3600,Visa
visa,949,3600,Visa
visa,950,1200,Visa
visa,953,1200,Visa
visa,955,1200,Visa
visa,956,1200,Visa
visa,959,1200,Visa
visa,961,1200,Visa
visa,963,7500,Visa
visa,965,1200,Visa
visa,967,1200,Visa
visa,970,1200,Visa
visa,971,1200,Visa
visa,972,1200,Visa
visa,973,1200,Visa
visa,975,1200,Visa
visa,977,1200,Visa
visa,978,1200,Visa
visa,980,1200,Visa
visa,981,1200,Visa
visa,983,1200,Visa
visa,984,1200,Visa
visa,985,1200,Visa
visa,990,1200,Visa
visa,993,1200,Visa
visa,994,3600,Visa
visa,997,1200,Visa
